UID,Lat,Lon,CO,PM10,PM25,AQI
0,44.382361,-79.702306,,,5,23
1,44.150528,-77.3955,,,9,24
2,43.69875,-79.780917,,,5,23
3,43.138611,-80.292639,,,5,22
4,43.315111,-79.802639,,,5,18
5,42.403694,-82.208306,,,17,22
6,45.017972,-74.735222,,,9,22
7,45.224278,-78.932944,,,9,24
8,43.333083,-81.742889,,,5,25
9,43.551611,-80.264167,,,9,25
10,43.257778,-79.861667,2.2,,13,20
11,-79.862778,43.229417,,,5,23
12,43.257444,-79.90775,,,9,18
13,44.219722,-76.521111,,,13,21
14,43.443833,-80.503806,,,9,22
15,42.97446,-81.200858,,,9,22
16,43.54697,-79.65869,,,5,24
17,44.89975,-75.189944,,,,
18,44.044306,-79.48325,,,5,23
19,-79.449278,46.323194,,,9,20
20,43.486917,-79.702278,,,13,22
21,43.945944,-78.894917,,,9,26
22,45.382528,-75.714194,,,9,22
23,45.434333,-75.676,1.6,,13,20
24,45.337861,-80.038167,,,5,22
25,45.996722,-77.441194,,,13,21
26,44.301917,-78.346222,,,9,26
27,42.672083,-81.162889,,,9,22
28,42.982278,-82.405083,,,5,24
29,46.533194,-84.309917,,,9,19
30,-79.23475,43.160056,,,13,20
31,46.49194,-81.003105,,,5,24
32,48.379389,-89.290167,,,9,9
33,44.314472,-81.549722,,,5,23
34,-79.388111,43.662972,,,30,30
35,43.747917,-79.274056,,,9,18
36,43.781611,-79.417722,,,9,22
37,43.709444,-79.5435,1.8,,13,18
38,42.315778,-83.043667,1.6,,21,22
39,42.292889,-83.073139,,,13,19
40,68.356994,-133.714063,1.4,,5,5
41,65.279676,-126.812887,,1,,12
42,62.452084,-114.364031,1.7,16,13,16
58,41.0522,-73.7642,,,18,18
59,40.8197,-73.9481,4.5,,50,50
60,40.814701,-73.886703,5.6,,51,51
61,-74.018707,40.641819,,,18,18
62,40.7269,-73.8933,3.4,,30,30
63,40.7447,-73.5869,,,25,25
64,-73.9319,40.8492,5.6,,74,74
65,40.5802,-74.1994,,,29,29
67,44.61569,-123.091457,,8,10,10
68,42.290094,-123.2321,,11,10,14
69,44.78822,-117.8446,,13,16,16
70,45.4702,-122.8159,1.7,8,10,10
71,44.063916,-121.312554,,12,11,12
72,43.58925,-119.048302,,12,12,12
73,42.1617,-123.64835,,11,11,11
74,44.5884,-123.2673,,7,4,7
75,45.426351,-117.296066,,13,16,16
76,42.434149,-123.348466,,11,8,14
77,-119.262991,45.828968,,11,14,18
78,45.528501,-122.972398,1.7,8,8,8
79,44.417999,-118.951302,,12,16,16
80,-121.731369,42.190296,,11,12,12
81,-118.095206,45.339,,16,19,19
82,42.189215,-120.353969,,11,15,15
83,44.778743,-122.617048,,25,58,58
84,42.31411,-122.87923,,11,1,14
85,45.652231,-118.823033,,11,14,18
86,45.496641,-122.602877,1.7,8,7,8
87,44.299787,-120.844773,,13,14,14
88,43.2266,-123.36479,,12,12,12
89,44.943114,-123.005934,,8,8,15
90,42.623225,-122.810158,,11,8,21
91,45.014998,-122.790382,,19,50,50
92,44.2921,-121.5555,,3,7,7
93,44.3958,-122.7305,,7,9,9
94,45.602419,-121.203387,,12,12,18
95,44.630600,-121.131599,,46,,46
96,46.97228,-123.83173,,,9,9
97,47.64476,-117.58913,,16,19,
98,48.520590,-122.61428,,,17,17
99,48.4654,-122.56,,,2,12
